,Symbol,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type,currentprice,movingaverage
1,CC,Newman Mark,Senior VP & COO,"May 07, 2020",$11.62,2500,29048,133344,"May 08, 2020, 09:57 PM",buy,12.90999984741211,14.657833364274767
2,CATC,Palandjian Leon Aghababai,Director,"May 06, 2020",$49.48,2000,98960,12957,"May 08, 2020, 08:11 PM",buy,51.79999923706055,70.02022238837348
3,GEO,ZOLEY GEORGE C,Chairman & CEO,"May 07, 2020",$11.44,50000,571905,50000,"May 08, 2020, 07:25 PM",buy,11.5,15.136388932334052
4,GEO,ZOLEY GEORGE C,Chairman & CEO,"May 06, 2020",$11.24,150000,1685280,2750000,"May 08, 2020, 07:25 PM",buy,11.5,15.136388932334052
5,GEO,ZOLEY GEORGE C,Chairman & CEO,"May 07, 2020",$11.42,50000,571090,50000,"May 08, 2020, 07:25 PM",buy,11.5,15.136388932334052
6,MED,BROWN JEFFREY J,Director,"Feb 05, 2019",$129.49,59,7640,10273,"May 08, 2020, 07:02 PM",buy,95.62000274658203,91.85772207048204
7,MED,BROWN JEFFREY J,Director,"Feb 08, 2018",$66.91,72,4818,10118,"May 08, 2020, 07:02 PM",buy,95.62000274658203,91.85772207048204
8,MED,BROWN JEFFREY J,Director,"Nov 05, 2019",$112.31,69,7749,10472,"May 08, 2020, 07:02 PM",buy,95.62000274658203,91.85772207048204
9,MED,BROWN JEFFREY J,Director,"Nov 08, 2018",$157.00,30,4710,10214,"May 08, 2020, 07:02 PM",buy,95.62000274658203,91.85772207048204
10,MED,BROWN JEFFREY J,Director,"Nov 09, 2017",$70.35,45,3166,10045,"May 08, 2020, 07:02 PM",buy,95.62000274658203,91.85772207048204
11,MED,BROWN JEFFREY J,Director,"Aug 05, 2019",$98.94,78,7717,10403,"May 08, 2020, 07:02 PM",buy,95.62000274658203,91.85772207048204
12,MED,BROWN JEFFREY J,Director,"Aug 08, 2018",$199.53,24,4789,10184,"May 08, 2020, 07:02 PM",buy,95.62000274658203,91.85772207048204
